Rk,Player,Tm,Pos,Age,G,GS,Cmp,PassingAtt,PassingYds,PassingTD,Int,RushingAtt,RushingYds,Y/A,RushingTD,Tgt,Rec,ReceivingYds,Y/R,ReceivingTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
314,Elijah Moore,NYJ,WR,21,4,3,0,0,0,0,0,0,0,,0,20,8,66,8.25,0,0,0,0,,,7,14.6,14.6,10.6,,133,
315,James O'Shaughnessy,JAX,TE,29,2,2,0,0,0,0,0,0,0,,0,9,7,72,10.29,0,0,0,0,,,7,14.2,14.2,10.7,,57,
316,Josh Reynolds,TEN,WR,26,3,0,0,0,0,0,0,0,0,,0,10,7,67,9.57,0,0,0,0,,,7,13.7,13.7,10.2,,132,
317,Preston Williams,MIA,WR,24,2,1,0,0,0,0,0,1,7,7,0,8,4,62,15.5,0,0,0,0,,,7,10.9,10.9,8.9,,130,
318,Tavon Austin,JAX,WR,31,3,0,0,0,0,0,0,0,0,,0,9,6,62,10.33,0,0,0,0,,,6,12.2,12.2,9.2,,134,
319,Trinity Benson,DET,WR,24,5,0,0,0,0,0,0,0,0,,0,15,6,55,9.17,0,0,0,0,,,6,11.5,11.5,8.5,,139,
320,C.J. Board,NYG,WR,28,6,1,0,0,0,0,0,1,6,6,0,6,4,51,12.75,0,0,0,0,,,6,9.7,9.7,7.7,,137,
321,C.J. Ham,MIN,RB,28,6,4,0,0,0,0,0,5,34,6.8,0,3,3,23,7.67,0,0,0,0,,,6,8.7,8.7,7.2,,84,
322,Chris Herndon,MIN,TE,25,6,0,0,0,0,0,0,0,0,,0,3,1,2,2,1,0,0,1,,,6,7.2,7.2,6.7,,62,
323,Jesper Horsted,CHI,TE,24,2,0,0,0,0,0,0,0,0,,0,1,1,2,2,1,0,0,1,,,6,7.2,7.2,6.7,,61,
324,Justin Jackson,LAC,RB,25,5,0,0,0,0,0,0,10,22,2.2,0,7,7,34,4.86,0,0,0,0,,,6,12.6,12.6,9.1,,85,
325,Ty Montgomery,NOR,WR,28,5,1,0,0,0,0,0,2,7,3.5,0,5,5,50,10,0,0,0,0,,,6,10.7,10.7,8.2,,138,
326,Josh Palmer,LAC,WR,23,6,0,0,0,0,0,0,0,0,,0,10,6,58,9.67,0,0,0,0,,,6,11.8,11.8,8.8,,136,
327,Larry Rountree,LAC,RB,22,5,0,0,0,0,0,0,24,60,2.5,0,2,1,-1,-1,0,0,0,0,,,6,6.9,6.9,6.4,,83,
328,Adam Trautman,NOR,TE,24,5,3,0,0,0,0,0,0,0,,0,10,6,64,10.67,0,0,0,0,,,6,12.4,12.4,9.4,,60,
329,Dede Westbrook,MIN,WR,28,6,0,0,0,0,0,0,0,0,,0,9,7,59,8.43,0,1,0,0,,,6,12.9,12.9,9.4,,135,
330,Ameer Abdullah,MIN,RB,28,6,0,0,0,0,0,0,7,30,4.29,0,4,3,17,5.67,0,0,0,0,,,5,7.7,7.7,6.2,,88,
331,Luke Farrell,JAX,TE,24,6,1,0,0,0,0,0,0,0,,0,6,5,46,9.2,0,1,0,0,,,5,9.6,9.6,7.1,,64,
332,Royce Freeman,CAR,RB,25,6,0,0,0,0,0,0,12,34,2.83,0,3,2,14,7,0,0,0,0,,,5,6.8,6.8,5.8,,86,
333,Will Fuller,MIA,WR,27,2,0,0,0,0,0,0,0,0,,0,8,4,26,6.5,0,0,0,0,1,,5,8.6,8.6,6.6,,144,
334,Ryan Griffin,NYJ,TE,31,5,5,0,0,0,0,0,0,0,,0,15,8,49,6.13,0,1,0,0,,,5,12.9,12.9,8.9,,63,
335,Marcus Johnson,TEN,WR,27,1,1,0,0,0,0,0,0,0,,0,5,3,52,17.33,0,0,0,0,,,5,8.2,8.2,6.7,,141,
336,Tyler Kroft,NYJ,TE,29,4,2,0,0,0,0,0,0,0,,0,10,6,46,7.67,0,0,0,0,,,5,10.6,10.6,7.6,,65,
337,Ray-Ray McCloud,PIT,WR,25,6,0,0,0,0,0,0,0,0,,0,9,7,54,7.71,0,1,0,0,,,5,12.4,12.4,8.9,,140,
338,Dante Pettis,NYG,WR,26,1,0,0,0,0,0,0,0,0,,0,11,5,48,9.6,0,0,0,0,,,5,9.8,9.8,7.3,,143,
339,Jeff Smith,NYJ,WR,24,3,0,0,0,0,0,0,0,0,,0,4,2,48,24,0,0,0,0,,,5,6.8,6.8,5.8,,142,
340,Rodney Smith,CAR,RB,25,2,0,0,0,0,0,0,0,0,,0,5,5,48,9.6,0,0,0,0,,,5,9.8,9.8,7.3,,87,
341,Albert Wilson,MIA,WR,29,5,0,0,0,0,0,0,0,0,,0,12,7,45,6.43,0,0,0,0,,,5,11.5,11.5,8,,145,
342,Brandon Allen,CIN,QB,29,1,0,1,1,7,1,0,3,-3,-1,0,0,0,0,,0,0,0,0,,,4,4,4,4,,41,
343,Stephen Anderson,LAC,TE,28,6,1,0,0,0,0,0,0,0,,0,8,5,43,8.6,0,0,0,0,,,4,9.3,9.3,6.8,,66,
344,Blake Bell,KAN,TE,30,5,0,0,0,0,0,0,1,2,2,0,4,4,33,8.25,0,0,0,0,,,4,7.5,7.5,5.5,,69,
345,Alex Erickson,CAR,WR,29,6,0,0,0,0,0,0,0,0,,0,2,2,42,21,0,0,0,0,,,4,6.2,6.2,5.2,,146,
346,Darren Fells,DET,TE,35,6,5,0,0,0,0,0,0,0,,0,4,3,37,12.33,0,0,0,0,,,4,6.7,6.7,5.2,,68,
347,Michael Gallup,DAL,WR,25,1,0,0,0,0,0,0,0,0,,0,7,4,36,9,0,0,0,0,,,4,7.6,7.6,5.6,,150,
348,Penny Hart,SEA,WR,25,6,0,0,0,0,0,0,0,0,,0,5,4,38,9.5,0,0,0,0,,,4,7.8,7.8,5.8,,148,
349,Jerick McKinnon,KAN,RB,29,6,0,0,0,0,0,0,4,12,3,0,7,4,32,8,0,0,0,0,,,4,8.4,8.4,6.4,,89,
350,Jaret Patterson,WAS,RB,22,6,0,0,0,0,0,0,9,28,3.11,0,2,2,9,4.5,0,0,0,0,,,4,5.7,5.7,4.7,,90,
351,Eric Saubert,DEN,TE,27,6,2,0,0,0,0,0,0,0,,0,8,5,37,7.4,0,0,0,0,,,4,8.7,8.7,6.2,,67,
352,Cam Sims,WAS,WR,25,4,0,0,0,0,0,0,1,7,7,0,3,2,32,16,0,0,0,0,,,4,5.9,5.9,4.9,,147,
353,Keith Smith,ATL,RB,29,5,2,0,0,0,0,0,5,18,3.6,0,4,3,18,6,0,0,0,0,,,4,6.6,6.6,5.1,,91,
354,Kenny Stills,NOR,WR,29,3,2,0,0,0,0,0,1,1,1,0,9,3,34,11.33,0,0,0,0,,,4,6.5,6.5,5,,151,
355,Geoff Swaim,TEN,WR,28,5,5,0,0,0,0,0,0,0,,0,9,5,37,7.4,0,0,0,0,,,4,8.7,8.7,6.2,,149,
356,Rashod Bateman,BAL,WR,22,1,0,0,0,0,0,0,0,0,,0,6,4,29,7.25,0,0,0,0,,,3,6.9,6.9,4.9,,155,
357,D'Wayne Eskridge,SEA,WR,24,1,0,0,0,0,0,0,2,22,11,0,1,1,6,6,0,0,0,0,,,3,3.8,3.8,3.3,,157,
358,Russell Gage,ATL,WR,25,2,0,0,0,0,0,0,0,0,,0,9,5,28,5.6,0,0,0,0,,,3,7.8,7.8,5.3,,156,
359,Wayne Gallman,ATL,RB,27,2,0,0,0,0,0,0,7,31,4.43,0,1,0,0,,0,0,0,0,,,3,3.1,3.1,3.1,,92,
360,K.J. Hill,LAC,WR,24,6,0,0,0,0,0,0,0,0,,0,3,3,30,10,0,0,0,0,,,3,6,6,4.5,,154,
361,Kylin Hill,GNB,RB,23,6,0,0,0,0,0,0,7,22,3.14,0,1,1,5,5,0,0,0,0,,,3,3.7,3.7,3.2,,93,
362,Tommy Hudson,TEN,TE,24,3,0,0,0,0,0,0,0,0,,0,5,3,31,10.33,0,0,0,0,,,3,6.1,6.1,4.6,,71,
363,Lil'Jordan Humphrey,NOR,WR,23,2,1,0,0,0,0,0,0,0,,0,2,1,27,27,0,0,0,0,,,3,3.7,3.7,3.2,,158,
364,Trenton Irwin,CIN,WR,26,4,0,0,0,0,0,0,0,0,,0,1,1,25,25,0,0,0,0,,,3,3.5,3.5,3,,161,
365,Drew Lock,DEN,QB,25,1,0,12,21,113,0,1,0,0,,0,0,0,0,,0,0,0,0,,,3,2.5,3.5,3.5,,43,
366,Marcus Mariota,LVR,QB,28,1,0,0,0,0,0,0,1,31,31,0,0,0,0,,0,0,0,0,,,3,3.1,3.1,3.1,,42,
367,Josh Oliver,BAL,TE,24,6,0,0,0,0,0,0,0,0,,0,7,5,30,6,0,1,0,0,,,3,8,8,5.5,,72,
368,Amari Rodgers,GNB,WR,22,6,0,0,0,0,0,0,0,0,,0,2,2,33,16.5,0,0,0,0,,,3,5.3,5.3,4.3,,152,
369,Curtis Samuel,WAS,WR,25,2,1,0,0,0,0,0,1,8,8,0,5,4,19,4.75,0,0,0,0,,,3,6.7,6.7,4.7,,159,
370,Kaden Smith,NYG,TE,24,6,4,0,0,0,0,0,0,0,,0,3,3,33,11,0,0,0,0,,,3,6.3,6.3,4.8,,70,
371,Willie Snead,LVR,WR,29,6,0,0,0,0,0,0,0,0,,0,5,3,32,10.67,0,0,0,0,,,3,6.2,6.2,4.7,,153,
372,Mike Strachan,IND,WR,24,4,0,0,0,0,0,0,0,0,,0,3,2,26,13,0,0,0,0,,,3,4.6,4.6,3.6,,160,
373,Kalen Ballage,PIT,RB,26,6,0,0,0,0,0,0,6,15,2.5,0,1,0,0,,0,0,0,0,,,2,1.5,1.5,1.5,,102,
374,Christian Blake,ATL,WR,25,5,0,0,0,0,0,0,0,0,,0,5,3,20,6.67,0,0,0,0,,,2,5,5,3.5,,164,
375,Michael Burton,KAN,RB,29,6,0,0,0,0,0,0,3,9,3,0,1,1,11,11,0,0,0,0,,,2,3,3,2.5,,98,
376,Damiere Byrd,CHI,WR,28,6,0,0,0,0,0,0,0,0,,0,4,3,19,6.33,0,0,0,0,,,2,4.9,4.9,3.4,,166,
377,Cethan Carter,MIA,TE,26,6,1,0,0,0,0,0,0,0,,0,2,2,16,8,0,0,0,0,,,2,3.6,3.6,2.6,,75,
378,Zach Gentry,PIT,TE,25,6,3,0,0,0,0,0,0,0,,0,4,3,21,7,0,0,0,0,,,2,5.1,5.1,3.6,,74,
379,Kylen Granson,IND,TE,23,6,0,0,0,0,0,0,0,0,,0,4,3,22,7.33,0,0,0,0,,,2,5.2,5.2,3.7,,73,
380,N'Keal Harry,NWE,WR,24,3,1,0,0,0,0,0,0,0,,0,3,2,19,9.5,0,0,0,0,,,2,3.9,3.9,2.9,,165,
381,D'Ernest Johnson,CLE,RB,25,6,0,0,0,0,0,0,3,11,3.67,0,1,1,7,7,0,0,0,0,,,2,2.8,2.8,2.3,,101,
382,Joshua Kelley,LAC,RB,24,2,0,0,0,0,0,0,6,24,4,0,0,0,0,,0,0,0,0,,,2,2.4,2.4,2.4,,94,
383,Tom Kennedy,DET,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,15,15,0,0,0,0,,,2,2.5,2.5,2,,169,
384,Raheem Mostert,SFO,RB,29,1,1,0,0,0,0,0,2,20,10,0,0,0,0,,0,0,0,0,,,2,2,2,2,,99,
385,Gabe Nabers,LAC,RB,24,6,1,0,0,0,0,0,1,2,2,0,3,3,17,5.67,0,0,0,0,,,2,4.9,4.9,3.4,,100,
386,Dare Ogunbowale,JAX,RB,27,6,0,0,0,0,0,0,2,3,1.5,0,1,1,19,19,0,0,0,0,,,2,3.2,3.2,2.7,,95,
387,Patrick Ricard,BAL,RB,27,6,4,0,0,0,0,0,1,2,2,0,4,3,19,6.33,0,0,0,0,,,2,5.1,5.1,3.6,,96,
388,Andre Roberts,HOU,WR,33,6,0,0,0,0,0,0,0,0,,0,2,1,35,35,0,2,1,0,,,2,2.5,3.5,2,,168,
389,Adam Shaheen,MIA,TE,27,4,3,0,0,0,0,0,0,0,,0,3,2,15,7.5,0,0,0,0,,,2,3.5,3.5,2.5,,76,
390,Shi Smith,CAR,WR,23,1,0,0,0,0,0,0,0,0,,0,2,2,20,10,0,0,0,0,,,2,4,4,3,,163,
391,Benny Snell Jr.,PIT,RB,23,6,0,0,0,0,0,0,8,21,2.63,0,2,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,97,
392,Mike Thomas,CIN,WR,27,4,1,0,0,0,0,0,0,0,,0,5,3,24,8,0,0,0,0,,,2,5.4,5.4,3.9,,162,
393,Cody White,PIT,WR,23,4,0,0,0,0,0,0,0,0,,0,3,2,17,8.5,0,0,0,0,,,2,3.7,3.7,2.7,,167,
394,Alex Armah,NOR,RB,27,4,0,0,0,0,0,0,2,7,3.5,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,111,
395,John Bates,WAS,TE,24,6,1,0,0,0,0,0,0,0,,0,1,1,7,7,0,0,0,0,,,1,1.7,1.7,1.2,,82,
396,Miles Boykin,BAL,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,177,
397,Gary Brightwell,NYG,RB,22,6,0,0,0,0,0,0,1,4,4,0,1,1,6,6,0,0,0,0,,,1,2,2,1.5,,108,
398,Rex Burkhead,HOU,RB,31,5,0,0,0,0,0,0,1,-1,-1,0,4,2,11,5.5,0,0,0,0,,,1,3,3,2,,109,
399,Derek Carrier,LVR,TE,31,4,1,0,0,0,0,0,0,0,,0,2,2,13,6.5,0,0,0,0,,,1,3.3,3.3,2.3,,77,
400,Damarea Crockett,DEN,RB,24,6,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,112,
401,Josiah Deguara,GNB,TE,24,5,0,0,0,0,0,0,0,0,,0,2,2,8,4,0,0,0,0,,,1,2.8,2.8,1.8,,81,
402,Ryan Fitzpatrick,WAS,QB,39,1,1,3,6,13,0,0,1,2,2,0,0,0,0,,0,1,0,0,,,1,0.7,0.7,0.7,,46,
403,Jake Funk,LAR,RB,23,6,0,0,0,0,0,0,1,6,6,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,114,
404,Blaine Gabbert,TAM,QB,32,2,0,3,3,41,0,0,6,-4,-0.67,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2,,44,
405,Reggie Gilliam,BUF,RB,24,5,2,0,0,0,0,0,3,3,1,0,2,1,8,8,0,0,0,0,,,1,2.1,2.1,1.6,,106,
406,Josh Gordon,KAN,WR,30,2,0,0,0,0,0,0,0,0,,0,1,1,11,11,0,0,0,0,,,1,2.1,2.1,1.6,,173,
407,Jimmy Graham,CHI,TE,35,6,3,0,0,0,0,0,0,0,,0,3,1,11,11,0,0,0,0,,,1,2.1,2.1,1.6,,78,
408,Noah Gray,KAN,TE,22,5,0,0,0,0,0,0,0,0,,0,2,1,5,5,0,0,0,0,,,1,1.5,1.5,1,,83,
409,Tyler Huntley,BAL,QB,23,1,0,0,0,0,0,0,3,10,3.33,0,0,0,0,,0,0,0,0,,,1,1,1,1,,45,
410,Tyron Johnson,JAX,WR,25,5,0,0,0,0,0,0,0,0,,0,3,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,175,
411,Isaiah McKenzie,BUF,WR,26,5,1,0,0,0,0,0,2,5,2.5,0,2,1,1,1,0,0,0,0,,,1,1.6,1.6,1.1,,174,
412,Scott Miller,TAM,WR,24,3,0,0,0,0,0,0,0,0,,0,3,2,11,5.5,0,0,0,0,,,1,3.1,3.1,2.1,,172,
413,Dax Milne,WAS,WR,22,5,0,0,0,0,0,0,0,0,,0,2,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,176,
414,Johnny Mundt,LAR,TE,27,6,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,,,1,1.9,1.9,1.4,,79,
415,Jacques Patrick,SFO,RB,24,2,0,0,0,0,0,0,2,12,6,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2,,105,
416,Rashaad Penny,SEA,RB,25,1,0,0,0,0,0,0,2,8,4,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,110,
417,Jalen Richard,LVR,RB,28,2,0,0,0,0,0,0,1,0,0,0,2,2,7,3.5,0,0,0,0,,,1,2.7,2.7,1.7,,113,
418,Drew Sample,CIN,TE,25,6,3,0,0,0,0,0,0,0,,0,5,2,9,4.5,0,0,0,0,,,1,2.9,2.9,1.9,,80,
419,Boston Scott,PHI,RB,26,6,0,0,0,0,0,0,0,0,,0,2,2,5,2.5,0,0,0,0,,,1,2.5,2.5,1.5,,116,
420,Johnny Stanton,CLE,RB,27,1,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,115,
421,Malik Taylor,GNB,WR,26,5,0,0,0,0,0,0,0,0,,0,3,2,14,7,0,0,0,0,,,1,3.4,3.4,2.4,,170,
422,Jonathan Ward,ARI,RB,24,6,0,0,0,0,0,0,4,14,3.5,0,0,0,0,,0,0,0,0,,,1,1.4,1.4,1.4,,103,
423,Dwayne Washington,NOR,RB,27,5,0,0,0,0,0,0,1,5,5,0,1,1,6,6,0,0,0,0,,,1,2.1,2.1,1.6,,107,
424,Trayveon Williams,CIN,RB,24,1,0,0,0,0,0,0,6,13,2.17,0,0,0,0,,0,0,0,0,,,1,1.3,1.3,1.3,,104,
425,Tyrell Williams,DET,WR,29,1,1,0,0,0,0,0,0,0,,0,3,2,14,7,0,0,0,0,,,1,3.4,3.4,2.4,,171,
426,Josh Adams,NYJ,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,
427,Geronimo Allison,DET,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,207,
428,JJ Arcega-Whiteside,PHI,,25,6,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,192,
429,Tutu Atwell,LAR,,22,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,210,
430,C.J. Beathard,JAX,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,52,
431,Andrew Beck,DEN,,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,94,
432,Travis Benjamin,SFO,,32,1,0,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,0,,,,,,,,208,
433,Khari Blasingame,TEN,,25,4,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,
434,Mike Boone,DEN,RB,26,1,0,0,0,0,0,0,0,0,,0,1,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,120,
435,Matt Breida,BUF,RB,26,2,0,0,0,0,0,0,4,4,1,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,118,
436,Daniel Brown,NYJ,,29,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,108,
437,John Brown,DEN,,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,212,
438,Jason Cabinda,DET,RB,25,6,0,0,0,0,0,0,0,0,,0,2,1,4,4,0,0,0,0,,,,1.4,1.4,0.9,,117,
439,Dan Chisena,MIN,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,182,
440,Corey Clement,DAL,RB,27,6,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,0,0,0,,,,,,,,134,
441,Tyrie Cleveland,DEN,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,202,
442,Dominique Dafney,GNB,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,114,
443,Chase Daniel,LAC,,35,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,53,
444,Darrell Daniels,ARI,,27,5,2,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,95,
445,Jaelon Darden,TAM,WR,22,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,,,,1,1,0.5,,196,
446,Connor Davis,CLE,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,109,
447,Tyler Davis,GNB,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,101,
448,Brandon Dillon,MIN,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,93,
449,Phillip Dorsett,2TM,WR,28,3,0,0,0,0,0,0,0,0,,0,2,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,179,
450,Ben Ellefson,MIN,,25,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,97,
451,Simi Fehoko,DAL,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,214,
452,Isaiah Ford,MIA,WR,25,2,0,0,0,0,0,0,0,0,,0,2,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,178,
453,Feleipe Franks,ATL,QB,24,2,0,0,0,0,0,0,1,3,3,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,48,
454,Antonio Gandy-Golden,WAS,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,209,
455,Cullen Gillaspia,NYG,,26,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,
456,C.J. Goodwin,DAL,,31,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,187,
457,Garrett Griffin,NOR,,27,5,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,102,
458,Justin Hardee,NYJ,,27,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,190,
459,Clark Harris,CIN,,37,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,115,
460,Demetrius Harris,ARI,,30,6,1,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,0,,,,,,,,106,
461,De'Michael Harris,IND,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,180,
462,Jacob Harris,LAR,,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,110,
463,Dwayne Haskins,PIT,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,54,
464,Parker Hesse,ATL,,26,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,96,
465,J.P. Holtz,CHI,,28,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,103,
466,Buddy Howell,LAR,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,
467,Tanner Hudson,SFO,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,
468,Andy Isabella,ARI,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,203,
469,Jesse James,CHI,,27,5,3,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,98,
470,Kerryon Johnson,SFO,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,131,
471,Taiwan Jones,BUF,,33,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,
472,Case Keenum,CLE,QB,33,2,0,1,3,6,0,0,3,0,0,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,49,
473,Marcus Kemp,KAN,,26,6,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,206,
474,Jake Kumerow,BUF,,29,5,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,183,
475,Hunter Long,MIA,,23,3,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,104,
476,Jordan Love,GNB,QB,23,2,0,5,7,68,0,0,3,-3,-1,0,0,0,0,,0,1,1,0,,,,0.4,1.4,0.4,,47,
477,Tyler Mabry,SEA,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,89,
478,Codey McElroy,TAM,,29,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,198,
479,Racey McMath,TEN,,22,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,199,
480,Jaydon Mickens,TAM,,27,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,184,
481,David Moore,DEN,,26,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,185,
482,Stanley Morgan Jr.,CIN,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,215,
483,Chris Myarick,NYG,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,91,
484,Ryan Nall,CHI,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,
485,Gunner Olszewski,NWE,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,211,
486,Matthew Orzech,LAR,,26,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,99,
487,Devine Ozigbo,NOR,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,
488,Colby Parkinson,SEA,TE,22,3,0,0,0,0,0,0,0,0,,0,2,1,1,1,0,0,0,0,,,,1.1,1.1,0.6,,86,
489,Nathan Peterman,LVR,QB,27,1,0,0,0,0,0,0,2,2,1,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,50,
490,Scottie Phillips,HOU,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,
491,Artavis Pierce,CHI,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,
492,Giovanni Ricci,CAR,,25,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,105,
493,Josh Rosen,ATL,QB,24,2,0,0,2,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,56,
494,Cooper Rush,DAL,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,51,
495,Mekhi Sargent,TEN,RB,24,3,0,0,0,0,0,0,2,4,2,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,119,
496,Ben Skowronek,LAR,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,181,
497,Matthew Slater,NWE,,36,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,204,
498,Devin Smith,JAX,,29,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,193,
499,Ihmir Smith-Marsette,MIN,,22,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
